place_code,date,mankai_date,kaika_date,meter,tavg,tmin,tmax,prcp,prefecture_jp,prefecture_en,spot_name,lat,lon,code,nowToMankai_days,nowToKaika_days,temp_mean,temp_min,temp_max,precipitation,meter_predi,temp_mean_predi,meter_resdi_sq,temp_mean_resdi_sq
23370039,2024-02-29,2024-03-28,2024-03-19,59,5.2,-0.8,9.9,9.9,愛知県,Aichi Prefecture,亀城公園,34.9893022925257,136.984603305386,23370039,28,19,5.4,0.3,9.0,12.1,57.66197837564423,5.122764900662252,1.7903018672436488,0.07685930030481096
23370039,2024-03-01,2024-03-28,2024-03-19,59,7.7,3.1,12.1,11.1,愛知県,Aichi Prefecture,亀城公園,34.9893022925257,136.984603305386,23370039,27,18,8.6,4.9,12.7,4.6,59.036345710110375,5.359295175023653,0.0013210106434274006,10.502167762624975
23370039,2024-03-02,2024-03-28,2024-03-19,61,2.4,-0.3,5.6,0.0,愛知県,Aichi Prefecture,亀城公園,34.9893022925257,136.984603305386,23370039,26,17,3.1,0.3,6.6,0.0,60.44347094888813,5.595825449385052,0.309724584731482,6.229144673798098
23370039,2024-03-03,2024-03-28,2024-03-19,62,3.2,-2.5,9.4,0.0,愛知県,Aichi Prefecture,亀城公園,34.9893022925257,136.984603305386,23370039,25,16,3.7,-2.7,10.6,0.0,61.88413487326348,5.832355723746453,0.013424727593670523,4.546940932594257
23370039,2024-03-04,2024-03-28,2024-03-19,63,4.9,-1.3,11.4,0.3,愛知県,Aichi Prefecture,亀城公園,34.9893022925257,136.984603305386,23370039,24,15,6.2,0.1,12.4,0.4,63.359136874364346,6.068885998107853,0.12897929452819185,0.017190881492173942
23370039,2024-03-05,2024-03-28,2024-03-19,65,5.6,3.6,8.5,12.5,愛知県,Aichi Prefecture,亀城公園,34.9893022925257,136.984603305386,23370039,23,14,5.5,4.2,7.4,18.9,64.86929539672397,6.3054162724692535,0.01708369331754432,0.6486953719582668
23370039,2024-03-06,2024-03-28,2024-03-19,66,8.3,4.9,13.4,2.5,愛知県,Aichi Prefecture,亀城公園,34.9893022925257,136.984603305386,23370039,22,13,8.2,5.5,12.4,2.7,66.41544839241706,6.541946546830653,0.17259736676192114,2.7491412535667936
23370039,2024-03-07,2024-03-29,2024-03-21,68,6.0,2.7,11.2,0.0,愛知県,Aichi Prefecture,亀城公園,34.9893022925257,136.984603305386,23370039,22,14,6.7,2.6,11.6,0.0,67.99845378601998,6.778476821192053,2.3907776720112642e-06,0.006158611464409496
23370039,2024-03-12,2024-03-29,2024-03-21,75,7.7,5.3,10.7,56.8,愛知県,Aichi Prefecture,亀城公園,34.9893022925257,136.984603305386,23370039,17,9,8.4,6.6,10.9,55.8,76.49775310222404,7.961128192999054,2.243264355221731,0.19260846298027626
23370039,2024-03-13,2024-03-29,2024-03-21,77,6.6,2.7,10.1,0.0,愛知県,Aichi Prefecture,亀城公園,34.9893022925257,136.984603305386,23370039,16,8,7.7,4.2,11.4,0.0,78.32106919344162,8.197658467360455,1.745223813860482,0.24766395013555678
23370039,2024-03-14,2024-03-30,2024-03-22,78,6.3,-1.2,13.8,0.0,愛知県,Aichi Prefecture,亀城公園,34.9893022925257,136.984603305386,23370039,16,8,6.7,-1.0,14.2,0.1,80.18784383649472,8.434188741721854,4.786660652887941,3.007410591914828
23370039,2024-03-15,2024-03-30,2024-03-22,81,8.7,2.0,16.1,0.0,愛知県,Aichi Prefecture,亀城公園,34.9893022925257,136.984603305386,23370039,15,7,8.9,1.1,16.7,0.0,82.0991128615044,8.670719016083254,1.208049082324379,0.052569769585831344
23370039,2024-03-16,2024-03-30,2024-03-22,84,11.2,4.6,18.9,0.0,愛知県,Aichi Prefecture,亀城公園,34.9893022925257,136.984603305386,23370039,14,6,11.7,5.9,19.5,0.0,84.0559367874965,8.907249290444655,0.0031289241954292938,7.799456525721878
23370039,2024-03-17,2024-03-30,2024-03-22,88,10.1,4.7,15.0,1.8,愛知県,Aichi Prefecture,亀城公園,34.9893022925257,136.984603305386,23370039,13,5,11.1,4.6,16.1,1.7,86.05940141085883,9.143779564806055,3.7659228841767174,3.8267983910703873
23370039,2024-03-18,2024-03-30,2024-03-22,91,6.0,1.7,9.3,0.0,愛知県,Aichi Prefecture,亀城公園,34.9893022925257,136.984603305386,23370039,12,4,6.4,2.7,9.6,0.0,88.11061840782459,9.380309839167456,8.348525985202114,8.882246737438345
23370008,2024-02-29,2024-03-30,2024-03-24,55,4.2,-2.2,10.0,10.0,愛知県,Aichi Prefecture,五条川の桜並木(大口町),35.3303144676103,136.907314023431,23370008,30,24,5.2,-0.1,9.2,12.9,53.355785318494924,4.82682119205298,2.7034419188768393,0.13926242270075864
23370008,2024-03-01,2024-03-30,2024-03-24,55,8.1,4.0,12.5,7.6,愛知県,Aichi Prefecture,五条川の桜並木(大口町),35.3303144676103,136.907314023431,23370008,29,23,8.1,4.3,12.6,9.0,54.533356366242444,5.045600756859035,0.21775628092645619,9.329354736500095
23370008,2024-03-02,2024-03-30,2024-03-24,56,2.6,-1.8,6.1,0.0,愛知県,Aichi Prefecture,五条川の桜並木(大口町),35.3303144676103,136.907314023431,23370008,28,22,2.7,-1.2,6.3,0.1,55.73691660268273,5.26438032166509,0.06921287394399499,6.576046434143151
23370008,2024-03-03,2024-03-30,2024-03-24,57,2.7,-4.0,9.9,1.8,愛知県,Aichi Prefecture,五条川の桜並木(大口町),35.3303144676103,136.907314023431,23370008,27,21,3.4,-2.9,10.0,0.8,56.96703961352874,5.483159886471145,0.0010863870763347888,4.339555112602475
23370008,2024-03-04,2024-03-30,2024-03-24,58,5.1,-0.9,12.0,0.0,愛知県,Aichi Prefecture,五条川の桜並木(大口町),35.3303144676103,136.907314023431,23370008,26,20,5.2,-1.2,12.0,0.1,58.22431164362525,5.7019394512772,0.05031571346586082,0.2519432127484564
23370008,2024-03-05,2024-03-30,2024-03-24,59,5.0,2.3,8.3,11.2,愛知県,Aichi Prefecture,五条川の桜並木(大口町),35.3303144676103,136.907314023431,23370008,25,19,5.4,3.4,6.5,11.5,59.509331876338344,5.920719016083255,0.2594189602543378,0.2711482937107126
23370008,2024-03-06,2024-03-30,2024-03-24,60,8.4,4.9,15.1,3.5,愛知県,Aichi Prefecture,五条川の桜並木(大口町),35.3303144676103,136.907314023431,23370008,24,18,8.2,5.9,14.2,6.8,60.82271271911049,6.13949858088931,0.6768562181861781,4.245666098157166
23370008,2024-03-07,2024-03-31,2024-03-25,62,6.3,2.1,12.4,0.0,愛知県,Aichi Prefecture,五条川の桜並木(大口町),35.3303144676103,136.907314023431,23370008,24,18,6.5,2.3,11.9,0.0,62.165080095318245,6.3582781456953645,0.02725143787028099,0.02008508398754432
23370008,2024-03-12,2024-03-31,2024-03-25,68,7.1,5.3,9.6,47.8,愛知県,Aichi Prefecture,五条川の桜並木(大口町),35.3303144676103,136.907314023431,23370008,19,13,7.8,6.0,10.5,46.2,69.33460655538529,7.452175969725639,1.7811746576773955,0.12098155603629955
23370008,2024-03-13,2024-03-31,2024-03-25,70,7.0,1.7,10.6,0.0,愛知県,Aichi Prefecture,五条川の桜並木(大口町),35.3303144676103,136.907314023431,23370008,18,12,7.2,3.7,10.8,0.0,70.86483284292315,7.670955534531693,0.7479358461985375,0.2217991155060324
